algorithm,size,input_type,run_count,avg_time,min_time,max_time,avg_comparisons,avg_moves,avg_recursive_calls,valid
Merge Sort,1000,sortat_crescator,3,0.0029480666665525255,0.002945600001112325,0.0029520999996748287,4932,9976,1999,True
Bubble Sort,1000,sortat_descrescator,3,0.12952253333302602,0.11548769999899378,0.14339920000020356,499500,499496,0,True
Quick Sort,1000,sortat_descrescator,3,0.0022241333335841773,0.0020777999998244923,0.002466199999616947,13052,16982,1023,True
Merge Sort,1000,sortat_descrescator,3,0.002619799999592942,0.002566799999840441,0.0026682999996410217,5046,9976,1999,True
Bubble Sort,1000,multe_duplicate,3,0.08511126666659645,0.08410600000024715,0.08589159999974072,496419,224001,0,True
Quick Sort,1000,multe_duplicate,3,0.001123400000021017,0.0007917999992059777,0.0017382000005454756,5893,7070,23,True
Merge Sort,1000,multe_duplicate,3,0.0030592000008861455,0.0029898000011598924,0.0031749000008858275,8531,9976,1999,True
Bubble Sort,1000,aproape_sortat,3,0.0610050666667424,0.059535299998970004,0.06273510000028182,473622,31424,0,True
Quick Sort,1000,aproape_sortat,3,0.002492999999958556,0.0023514000004070112,0.0027123999989271397,13369,17584,1219,True
Merge Sort,1000,aproape_sortat,3,0.003287833333160961,0.0029434000007313443,0.0038654999989375938,7446,9976,1999,True
Bubble Sort,2000,aleator,3,0.3799618666665386,0.37262139999984356,0.3836935999988782,1989955,986958,0,True
Quick Sort,2000,aleator,3,0.007291200000205815,0.00668500000028871,0.008000499999980093,38650,49560,2703,True
Merge Sort,2000,aleator,3,0.007745133333931638,0.006754199999704724,0.009572700000717305,19388,21952,3999,True
Bubble Sort,2000,sortat_crescator,3,0.0002277999998720285,0.00022279999939200934,0.00023119999968912452,1999,0,0,True
Quick Sort,2000,sortat_crescator,3,0.005072033332908177,0.0047619999986636685,0.005643700000291574,28840,37908,2045,True
Merge Sort,2000,sortat_crescator,3,0.005646066666789314,0.005471399999805726,0.005982200000289595,10864,21952,3999,True
